Company,Order_no,Quantity,Sales,Status,Product_line,City,Country,Deal_size,Order_date
"Gift Depot Inc.",10263,40,4472.00,Shipped,Motorcycles,Bridgewater,USA,Medium,2019-06-28
"La Rochelle Gifts",10275,22,2904.44,Shipped,Motorcycles,Nantes,France,Small,2019-07-23
"Marta's Replicas Co.",10285,47,6484.59,Shipped,Motorcycles,Cambridge,USA,Medium,2019-08-27
"Atelier graphique",10298,39,3757.26,Shipped,Motorcycles,Nantes,France,Medium,2019-09-27
"Mini Classics",10308,34,4043.96,Shipped,Motorcycles,"White Plains",USA,Medium,2019-10-15
"Diecast Classics Inc.",10318,45,5566.50,Shipped,Motorcycles,Allentown,USA,Medium,2019-11-02
"Land of Toys Inc.",10329,20,3176.00,Shipped,Motorcycles,NYC,USA,Medium,2019-11-15
"Souveniers And Things Co.",10361,26,1329.90,Shipped,Motorcycles,Chatswood,Australia,Small,2019-12-17
"Australian Gift Network, Co",10374,39,5288.01,Shipped,Motorcycles,"South Brisbane",Australia,Medium,2020-02-02
FunGiftIdeas.com,10388,50,2225.50,Shipped,Motorcycles,"New Bedford",USA,Small,2020-03-03
"Auto Canal Petit",10402,45,5833.80,Shipped,Motorcycles,Paris,France,Medium,2020-04-07
"Euro Shopping Channel",10417,45,5887.35,Disputed,Motorcycles,Madrid,Spain,Medium,2020-05-13
"Land of Toys Inc.",10107,27,6065.55,Shipped,Motorcycles,NYC,USA,Medium,2018-02-24
"Australian Collectors, Co.",10120,46,9264.86,Shipped,Motorcycles,Melbourne,Australia,Large,2018-04-29
"Lyon Souveniers",10134,31,7023.98,Shipped,Motorcycles,Paris,France,Large,2018-07-01
Toys4GrownUps.com,10145,33,5176.38,Shipped,Motorcycles,Pasadena,USA,Medium,2018-08-25
"Technics Stores Inc.",10168,20,4183.00,Shipped,Motorcycles,Burlingame,USA,Medium,2018-10-28
"Daedalus Designs Imports",10180,41,8892.90,Shipped,Motorcycles,Lille,France,Large,2018-11-11
"Australian Collectors, Co.",10223,49,9774.03,Shipped,Motorcycles,Melbourne,Australia,Large,2019-02-20
"Vitachrome Inc.",10237,39,7023.90,Shipped,Motorcycles,NYC,USA,Large,2019-04-05
"Tekni Collectables Inc.",10251,43,7078.23,Shipped,Motorcycles,Newark,USA,Large,2019-05-18
"Gift Depot Inc.",10263,41,8336.94,Shipped,Motorcycles,Bridgewater,USA,Large,2019-06-28
"La Rochelle Gifts",10275,36,6901.92,Shipped,Motorcycles,Nantes,France,Medium,2019-07-23
"Marta's Replicas Co.",10285,27,5438.07,Shipped,Motorcycles,Cambridge,USA,Medium,2019-08-27
"Toys of Finland, Co.",10299,29,6683.34,Shipped,Motorcycles,Helsinki,Finland,Medium,2019-09-30
"Mini Classics",10308,20,4570.40,Shipped,Motorcycles,"White Plains",USA,Medium,2019-10-15
"Diecast Classics Inc.",10318,37,7667.14,Shipped,Motorcycles,Allentown,USA,Large,2019-11-02
"Land of Toys Inc.",10329,26,5868.20,Shipped,Motorcycles,NYC,USA,Medium,2019-11-15
"Technics Stores Inc.",10362,22,3664.10,Shipped,Motorcycles,Burlingame,USA,Medium,2020-01-05
"Australian Gift Network, Co",10374,22,3834.38,Shipped,Motorcycles,"South Brisbane",Australia,Medium,2020-02-02
FunGiftIdeas.com,10388,21,1822.17,Shipped,Motorcycles,"New Bedford",USA,Small,2020-03-03
"Euro Shopping Channel",10417,56,9218.16,Disputed,Motorcycles,Madrid,Spain,Large,2020-05-13
"Danish Wholesale Imports",10105,50,7208.00,Shipped,"Classic Cars",Kobenhavn,Denmark,Large,2018-02-11
"Salzburg Collectables",10119,46,5004.80,Shipped,"Classic Cars",Salzburg,Austria,Medium,2018-04-28
"Mini Creations Ltd.",10143,49,5597.76,Shipped,"Classic Cars","New Bedford",USA,Medium,2018-08-10
"Toys of Finland, Co.",10155,32,4526.08,Shipped,"Classic Cars",Helsinki,Finland,Medium,2018-10-06
"Alpha Cognac",10178,24,3492.48,Shipped,"Classic Cars",Toulouse,France,Medium,2018-11-08
"Enaco Distributors",10197,45,5324.40,Shipped,"Classic Cars",Barcelona,Spain,Medium,2018-11-26
"Collectable Mini Designs Co.",10222,49,5997.60,Shipped,"Classic Cars","San Diego",USA,Medium,2019-02-19
"Land of Toys Inc.",10248,20,2910.40,Cancelled,"Classic Cars",NYC,USA,Small,2019-05-07
Gifts4AllAges.com,10295,24,3427.20,Shipped,"Classic Cars",Boston,USA,Medium,2019-09-10
"Classic Gift Ideas, Inc",10307,22,2692.80,Shipped,"Classic Cars",Philadelphia,USA,Small,2019-10-14
"Baane Mini Imports",10325,47,3051.71,Shipped,"Classic Cars",Stavern,Norway,Medium,2019-11-05
"Classic Legends Inc.",10337,25,1201.25,Shipped,"Classic Cars",NYC,USA,Small,2019-11-21
"Euro Shopping Channel",10350,26,1962.22,Shipped,"Classic Cars",Madrid,Spain,Small,2019-12-02
"Reims Collectables",10359,48,2624.64,Shipped,"Classic Cars",Reims,France,Small,2019-12-15
"Oulu Toy Supplies, Inc.",10373,39,4046.25,Shipped,"Classic Cars",Oulu,Finland,Medium,2020-01-31
"Lyon Souveniers",10395,32,3370.56,Shipped,"Classic Cars",Paris,France,Medium,2020-03-17
"The Sharp Gifts Warehouse",10400,64,9661.44,Shipped,"Classic Cars","San Jose",USA,Large,2020-04-01
Gifts4AllAges.com,10414,19,2764.88,"On Hold","Classic Cars",Boston,USA,Small,2020-05-06
"Baane Mini Imports",10103,42,5398.26,Shipped,"Classic Cars",Stavern,Norway,Medium,2018-01-29
"La Corne D'abondance, Co.",10114,31,4305.28,Shipped,"Classic Cars",Paris,France,Medium,2018-04-01
"Corrida Auto Replicas, Ltd",10126,22,3347.74,Shipped,"Classic Cars",Madrid,Spain,Medium,2018-05-28
"Technics Stores Inc.",10140,26,3188.12,Shipped,"Classic Cars",Burlingame,USA,Medium,2018-07-24
"Dragon Souveniers, Ltd.",10150,20,3191.20,Shipped,"Classic Cars",Singapore,Singapore,Medium,2018-09-19
"Mini Auto Werke",10164,21,3536.82,Resolved,"Classic Cars",Graz,Austria,Medium,2018-10-21
"Classic Gift Ideas, Inc",10183,28,3433.36,Shipped,"Classic Cars",Philadelphia,USA,Medium,2018-11-13
"Saveley & Henriot, Co.",10194,26,4263.74,Shipped,"Classic Cars",Lyon,France,Medium,2018-11-25
"Diecast Collectables",10207,31,4076.19,Shipped,"Classic Cars",Boston,USA,Medium,2018-12-09
"Handji Gifts& Co",10217,48,7020.48,Shipped,"Classic Cars",Singapore,Singapore,Large,2019-02-04
"Mini Gifts Distributors Ltd.",10229,50,6426.50,Shipped,"Classic Cars","San Rafael",USA,Medium,2019-03-11
"Super Scale Inc.",10245,28,4591.72,Shipped,"Classic Cars","New Haven",USA,Medium,2019-05-04
"Handji Gifts& Co",10259,26,4033.38,Shipped,"Classic Cars",Singapore,Singapore,Medium,2019-06-15
"Souveniers And Things Co.",10270,32,4302.08,Shipped,"Classic Cars",Chatswood,Australia,Medium,2019-07-19
"Diecast Classics Inc.",10281,44,7020.64,Shipped,"Classic Cars",Allentown,USA,Large,2019-08-19
"Marta's Replicas Co.",10305,38,6680.78,Shipped,"Classic Cars",Cambridge,USA,Medium,2019-10-13
"Online Diecast Creations Co.",10322,46,2851.54,Shipped,"Classic Cars",Nashua,USA,Small,2019-11-04
"Australian Collectors, Co.",10347,27,4428.00,Shipped,"Classic Cars",Melbourne,Australia,Medium,2019-11-29
"Mini Gifts Distributors Ltd.",10357,43,5780.92,Shipped,"Classic Cars","San Rafael",USA,Medium,2019-12-10
"Anna's Decorations, Ltd",10370,35,2297.05,Shipped,"Classic Cars","North Sydney",Australia,Small,2020-01-20
"Anna's Decorations, Ltd",10391,37,1735.30,Shipped,"Classic Cars","North Sydney",Australia,Small,2020-03-09
"La Rochelle Gifts",10425,38,5894.94,"In Process","Classic Cars",Nantes,France,Medium,2020-05-31
"Marseille Mini Autos",10122,42,7599.90,Shipped,"Classic Cars",Marseille,France,Large,2018-05-08
"Mini Gifts Distributors Ltd.",10135,42,8008.56,Shipped,"Classic Cars","San Rafael",USA,Large,2018-07-02
"Collectables For Less Inc.",10147,48,9245.76,Shipped,"Classic Cars",Brickhaven,USA,Large,2018-09-05
"Anna's Decorations, Ltd",10169,30,5019.90,Shipped,"Classic Cars","North Sydney",Australia,Medium,2018-11-04
"Toms Spezialitten, Ltd",10191,21,3840.90,Shipped,"Classic Cars",Koln,Germany,Medium,2018-11-20
"Euro Shopping Channel",10203,20,3930.40,Shipped,"Classic Cars",Madrid,Spain,Medium,2018-12-02
"Auto Canal Petit",10211,41,7498.90,Shipped,"Classic Cars",Paris,France,Large,2019-01-15
"Vida Sport, Ltd",10225,27,4517.91,Shipped,"Classic Cars",Gensve,Switzerland,Medium,2019-02-22
"Danish Wholesale Imports",10238,28,5774.72,Shipped,"Classic Cars",Kobenhavn,Denmark,Medium,2019-04-09
"L'ordine Souveniers",10266,44,9160.36,Shipped,"Classic Cars","Reggio Emilia",Italy,Large,2019-07-06
"Online Mini Collectables",10276,50,9631.00,Shipped,"Classic Cars",Brickhaven,USA,Large,2019-08-02
"Vida Sport, Ltd",10287,21,3432.24,Shipped,"Classic Cars",Gensve,Switzerland,Medium,2019-08-30
"Blauer See Auto, Co.",10300,33,5521.89,Shipped,"Classic Cars",Frankfurt,Germany,Medium,2018-10-04
"Toms Spezialitten, Ltd",10310,33,6934.62,Shipped,"Classic Cars",Koln,Germany,Medium,2019-10-16
"Land of Toys Inc.",10329,41,2930.27,Shipped,"Classic Cars",NYC,USA,Small,2019-11-15
"Salzburg Collectables",10341,45,3584.25,Shipped,"Classic Cars",Salzburg,Austria,Medium,2019-11-24
"La Rochelle Gifts",10375,45,3420.00,Shipped,"Classic Cars",Nantes,France,Medium,2020-02-03
"Salzburg Collectables",10419,12,1961.28,Shipped,"Classic Cars",Salzburg,Austria,Small,2020-05-17
"Danish Wholesale Imports",10105,41,8690.36,Shipped,"Classic Cars",Kobenhavn,Denmark,Large,2018-02-11
"Dragon Souveniers, Ltd.",10117,33,6034.38,Shipped,"Classic Cars",Singapore,Singapore,Medium,2018-04-16
"Muscle Machine Inc",10127,46,11279.20,Shipped,"Classic Cars",NYC,USA,Large,2018-06-03
"Mini Gifts Distributors Ltd.",10142,33,8023.29,Shipped,"Classic Cars","San Rafael",USA,Large,2018-08-08
"Euro Shopping Channel",10153,20,4904.00,Shipped,"Classic Cars",Madrid,Spain,Medium,2018-09-28
"Dragon Souveniers, Ltd.",10165,44,8594.52,Shipped,"Classic Cars",Singapore,Singapore,Large,2018-10-22
"L'ordine Souveniers",10176,33,7474.50,Shipped,"Classic Cars","Reggio Emilia",Italy,Large,2018-11-06
"Mini Creations Ltd.",10185,21,3883.74,Shipped,"Classic Cars","New Bedford",USA,Medium,2018-11-14
"Super Scale Inc.",10196,47,8887.70,Shipped,"Classic Cars","New Haven",USA,Large,2018-11-26
"Saveley & Henriot, Co.",10208,46,8602.92,Shipped,"Classic Cars",Lyon,France,Large,2019-01-02
"Clover Collections, Co.",10220,32,7181.44,Shipped,"Classic Cars",Dublin,Ireland,Large,2019-02-12
"CAF Imports",10231,42,8378.58,Shipped,"Classic Cars",Madrid,Spain,Large,2019-03-19
"Diecast Classics Inc.",10272,35,5818.40,Shipped,"Classic Cars",Allentown,USA,Medium,2019-07-20
"Mini Gifts Distributors Ltd.",10282,41,7071.27,Shipped,"Classic Cars","San Rafael",USA,Large,2019-08-20
"Amica Models & Co.",10293,46,8411.56,Shipped,"Classic Cars",Torino,Italy,Large,2019-09-09
"Heintze Collectables",10314,38,7975.44,Shipped,"Classic Cars",Aaarhus,Denmark,Large,2019-10-22
"Baane Mini Imports",10325,42,2688.00,Shipped,"Classic Cars",Stavern,Norway,Small,2019-11-05
"La Corne D'abondance, Co.",10336,33,1888.26,Shipped,"Classic Cars",Paris,France,Small,2019-11-20
"Corrida Auto Replicas, Ltd",10348,48,2513.28,Shipped,"Classic Cars",Madrid,Spain,Small,2019-11-01
"Reims Collectables",10359,42,4764.48,Shipped,"Classic Cars",Reims,France,Medium,2019-12-15
"Mini Gifts Distributors Ltd.",10371,32,3560.64,Shipped,"Classic Cars","San Rafael",USA,Medium,2020-01-23
"Mini Gifts Distributors Ltd.",10382,34,3823.64,Shipped,"Classic Cars","San Rafael",USA,Medium,2020-02-17
"Lyon Souveniers",10395,33,2280.96,Shipped,"Classic Cars",Paris,France,Small,2020-03-17
"Gift Depot Inc.",10413,36,8677.80,Shipped,"Classic Cars",Bridgewater,USA,Large,2020-05-05
"Baane Mini Imports",10103,27,3394.98,Shipped,"Trucks and Buses",Stavern,Norway,Medium,2018-01-29
"Mini Gifts Distributors Ltd.",10113,21,3415.44,Shipped,"Trucks and Buses","San Rafael",USA,Medium,2018-03-26
"Corrida Auto Replicas, Ltd",10126,21,2439.57,Shipped,"Trucks and Buses",Madrid,Spain,Small,2018-05-28
"Technics Stores Inc.",10140,38,4829.80,Shipped,"Trucks and Buses",Burlingame,USA,Medium,2018-07-24
"Dragon Souveniers, Ltd.",10150,30,4100.10,Shipped,"Trucks and Buses",Singapore,Singapore,Medium,2018-09-19
"Mini Auto Werke",10164,49,6563.06,Resolved,"Trucks and Buses",Graz,Austria,Medium,2018-10-21
"Australian Gift Network, Co",10174,43,6817.22,Shipped,"Trucks and Buses","South Brisbane",Australia,Medium,2018-11-06
"Classic Gift Ideas, Inc",10183,41,6163.94,Shipped,"Trucks and Buses",Philadelphia,USA,Medium,2018-11-13
"Saveley & Henriot, Co.",10194,38,4933.92,Shipped,"Trucks and Buses",Lyon,France,Medium,2018-11-25
"Auto Assoc. & Cie.",10216,43,5759.42,Shipped,"Trucks and Buses",Versailles,France,Medium,2019-02-02
"Mini Gifts Distributors Ltd.",10229,25,3451.00,Shipped,"Trucks and Buses","San Rafael",USA,Medium,2019-03-11
"Super Scale Inc.",10245,38,5920.40,Shipped,"Trucks and Buses","New Haven",USA,Medium,2019-05-04
"Souveniers And Things Co.",10270,28,4094.72,Shipped,"Trucks and Buses",Chatswood,Australia,Medium,2019-07-19
"Diecast Classics Inc.",10281,25,2938.50,Shipped,"Trucks and Buses",Allentown,USA,Small,2019-08-19
"Auto Assoc. & Cie.",10304,39,6396.00,Shipped,"Trucks and Buses",Versailles,France,Medium,2019-10-11
"Online Diecast Creations Co.",10322,27,4784.13,Shipped,"Trucks and Buses",Nashua,USA,Medium,2019-11-04
"Australian Collectors, Co.",10347,29,3586.43,Shipped,"Trucks and Buses",Melbourne,Australia,Medium,2019-11-29
"Mini Gifts Distributors Ltd.",10357,49,5960.36,Shipped,"Trucks and Buses","San Rafael",USA,Medium,2019-12-10
"Anna's Decorations, Ltd",10370,49,8470.14,Shipped,"Trucks and Buses","North Sydney",Australia,Large,2020-01-20
"Anna's Decorations, Ltd",10391,39,2464.80,Shipped,"Trucks and Buses","North Sydney",Australia,Small,2020-03-09
"Euro Shopping Channel",10424,49,7969.36,"In Process","Trucks and Buses",Madrid,Spain,Large,2020-05-31
"Land of Toys Inc.",10107,21,3036.60,Shipped,Motorcycles,NYC,USA,Medium,2018-02-24
"Reims Collectables",10121,50,8284.00,Shipped,Motorcycles,Reims,France,Large,2018-05-07
"Lyon Souveniers",10134,20,2711.20,Shipped,Motorcycles,Paris,France,Small,2018-07-01
Toys4GrownUps.com,10145,49,8339.80,Shipped,Motorcycles,Pasadena,USA,Large,2018-08-25
"Anna's Decorations, Ltd",10169,35,4639.25,Shipped,Motorcycles,"North Sydney",Australia,Medium,2018-11-04
"Daedalus Designs Imports",10180,40,6747.60,Shipped,Motorcycles,Lille,France,Medium,2018-11-11
Toys4GrownUps.com,10189,28,4512.48,Shipped,Motorcycles,Pasadena,USA,Medium,2018-11-18
"Auto Canal Petit",10211,36,4771.80,Shipped,Motorcycles,Paris,France,Medium,2019-01-15
"Daedalus Designs Imports",10224,43,6087.94,Shipped,Motorcycles,Lille,France,Medium,2019-02-21
"Vitachrome Inc.",10237,32,4193.28,Shipped,Motorcycles,NYC,USA,Medium,2019-04-05
"Tekni Collectables Inc.",10251,46,7552.28,Shipped,Motorcycles,Newark,USA,Large,2019-05-18
"Gift Depot Inc.",10263,48,6434.40,Shipped,Motorcycles,Bridgewater,USA,Medium,2019-06-28
"Online Mini Collectables",10276,43,5181.50,Shipped,Motorcycles,Brickhaven,USA,Medium,2019-08-02
"Marta's Replicas Co.",10285,49,6863.92,Shipped,Motorcycles,Cambridge,USA,Medium,2019-08-27
"Toys of Finland, Co.",10299,24,4157.04,Shipped,Motorcycles,Helsinki,Finland,Medium,2019-09-30
"Baane Mini Imports",10309,26,4660.24,Shipped,Motorcycles,Stavern,Norway,Medium,2019-10-15
"Microscale Inc.",10319,30,4111.80,Shipped,Motorcycles,NYC,USA,Medium,2019-11-03
"Land of Toys Inc.",10329,24,3542.64,Shipped,Motorcycles,NYC,USA,Medium,2019-11-15
"Salzburg Collectables",10341,55,8118.55,Shipped,Motorcycles,Salzburg,Austria,Large,2019-11-24
"Technics Stores Inc.",10362,22,3877.06,Shipped,Motorcycles,Burlingame,USA,Medium,2020-01-05
"La Rochelle Gifts",10375,49,3867.08,Shipped,Motorcycles,Nantes,France,Medium,2020-02-03
FunGiftIdeas.com,10388,44,5951.44,Shipped,Motorcycles,"New Bedford",USA,Medium,2020-03-03
"Euro Shopping Channel",10417,21,3447.78,Disputed,Motorcycles,Madrid,Spain,Medium,2020-05-13
"Euro Shopping Channel",10104,34,5958.50,Shipped,"Classic Cars",Madrid,Spain,Medium,2018-01-31
"Dragon Souveniers, Ltd.",10117,43,5911.64,Shipped,"Classic Cars",Singapore,Singapore,Medium,2018-04-16
"Muscle Machine Inc",10127,46,7366.44,Shipped,"Classic Cars",NYC,USA,Large,2018-06-03
"Mini Gifts Distributors Ltd.",10142,33,4985.64,Shipped,"Classic Cars","San Rafael",USA,Medium,2018-08-08
"Euro Shopping Channel",10153,42,5393.64,Shipped,"Classic Cars",Madrid,Spain,Medium,2018-09-28
"Dragon Souveniers, Ltd.",10165,34,4880.02,Shipped,"Classic Cars",Singapore,Singapore,Medium,2018-10-22
"L'ordine Souveniers",10176,47,8378.69,Shipped,"Classic Cars","Reggio Emilia",Italy,Large,2018-11-06
"Mini Creations Ltd.",10185,33,4038.21,Shipped,"Classic Cars","New Bedford",USA,Medium,2018-11-14
"Super Scale Inc.",10196,24,3807.12,Shipped,"Classic Cars","New Haven",USA,Medium,2018-11-26
"Saveley & Henriot, Co.",10208,26,3142.36,Shipped,"Classic Cars",Lyon,France,Medium,2019-01-02
"Clover Collections, Co.",10220,30,4713.60,Shipped,"Classic Cars",Dublin,Ireland,Medium,2019-02-12
"Blauer See Auto, Co.",10230,43,7016.31,Shipped,"Classic Cars",Frankfurt,Germany,Large,2019-03-15
"Diecast Classics Inc.",10272,27,4283.01,Shipped,"Classic Cars",Allentown,USA,Medium,2019-07-20
"Mini Gifts Distributors Ltd.",10282,27,4364.82,Shipped,"Classic Cars","San Rafael",USA,Medium,2019-08-20
"Amica Models & Co.",10293,24,4242.24,Shipped,"Classic Cars",Torino,Italy,Medium,2019-09-09
"Heintze Collectables",10314,46,6393.54,Shipped,"Classic Cars",Aaarhus,Denmark,Medium,2019-10-22
"Vitachrome Inc.",10324,27,1466.91,Shipped,"Classic Cars",NYC,USA,Small,2019-11-05
"La Corne D'abondance, Co.",10336,33,4059.33,Shipped,"Classic Cars",Paris,France,Medium,2019-11-20
"Corrida Auto Replicas, Ltd",10348,47,4801.52,Shipped,"Classic Cars",Madrid,Spain,Medium,2019-11-01
"Euro Shopping Channel",10358,49,2711.66,Shipped,"Classic Cars",Madrid,Spain,Small,2019-12-10
"Mini Gifts Distributors Ltd.",10382,37,4071.85,Shipped,"Classic Cars","San Rafael",USA,Medium,2020-02-17
"Gift Depot Inc.",10413,47,8236.75,Shipped,"Classic Cars",Bridgewater,USA,Large,2020-05-05
"Marseille Mini Autos",10122,37,3693.34,Shipped,"Classic Cars",Marseille,France,Medium,2018-05-08
"Mini Gifts Distributors Ltd.",10135,48,6031.68,Shipped,"Classic Cars","San Rafael",USA,Medium,2018-07-02
"Collectables For Less Inc.",10147,31,3494.94,Shipped,"Classic Cars",Brickhaven,USA,Medium,2018-09-05
"Mini Auto Werke",10170,47,5464.69,Shipped,"Classic Cars",Graz,Austria,Medium,2018-11-04
"Toms Spezialitten, Ltd",10191,40,5590.00,Shipped,"Classic Cars",Koln,Germany,Medium,2018-11-20
"Euro Shopping Channel",10203,20,2254.80,Shipped,"Classic Cars",Madrid,Spain,Small,2018-12-02
"Euro Shopping Channel",10212,39,4946.76,Shipped,"Classic Cars",Madrid,Spain,Medium,2019-01-16
"Vida Sport, Ltd",10225,25,2495.50,Shipped,"Classic Cars",Gensve,Switzerland,Small,2019-02-22
"Danish Wholesale Imports",10238,29,3167.38,Shipped,"Classic Cars",Kobenhavn,Denmark,Medium,2019-04-09
"L'ordine Souveniers",10266,22,2454.54,Shipped,"Classic Cars","Reggio Emilia",Italy,Small,2019-07-06
"Online Mini Collectables",10276,47,5464.69,Shipped,"Classic Cars",Brickhaven,USA,Medium,2019-08-02
"Vida Sport, Ltd",10287,45,4756.50,Shipped,"Classic Cars",Gensve,Switzerland,Medium,2019-08-30
"Blauer See Auto, Co.",10300,29,3984.60,Shipped,"Classic Cars",Frankfurt,Germany,Medium,2018-10-04
"Toms Spezialitten, Ltd",10310,24,3100.32,Shipped,"Classic Cars",Koln,Germany,Medium,2019-10-16
"Land of Toys Inc.",10329,46,3846.98,Shipped,"Classic Cars",NYC,USA,Medium,2019-11-15
"Salzburg Collectables",10341,44,4220.92,Shipped,"Classic Cars",Salzburg,Austria,Medium,2019-11-24
"Boards & Toys Co.",10376,35,3987.20,Shipped,"Classic Cars",Glendale,USA,Medium,2020-02-08
"Salzburg Collectables",10419,10,1092.20,Shipped,"Classic Cars",Salzburg,Austria,Small,2020-05-17
"Danish Wholesale Imports",10105,29,4566.05,Shipped,"Classic Cars",Kobenhavn,Denmark,Medium,2018-02-11
